codigo,nombre,capitulo,vigente
010101,PUNCIÓN CISTERNAL- VÍA LATERAL,CapItulo 01 SISTEMA NERVIOSO,1
010102,PUNCIÓN CISTERNAL- VÍA MEDIAL,CapItulo 01 SISTEMA NERVIOSO,1
010103,PUNCIÓN CISTERNAL,CapItulo 01 SISTEMA NERVIOSO,1
010201,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO,CapItulo 01 SISTEMA NERVIOSO,1
010202,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER),CapItulo 01 SISTEMA NERVIOSO,1
010203,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO,CapItulo 01 SISTEMA NERVIOSO,1
010204,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR- VÍA TRANSFONTANELAR,CapItulo 01 SISTEMA NERVIOSO,1
010205,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR,CapItulo 01 SISTEMA NERVIOSO,1
010901,PUNCIÓN SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,1
010902,OTRA PUNCIÓN CRANEAL,CapItulo 01 SISTEMA NERVIOSO,1
011101,BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
011102,BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
011103,BIOPSIA DE CRÁNEO,CapItulo 01 SISTEMA NERVIOSO,1
011201,BIOPSIA DE MENINGE- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
011202,BIOPSIA DE MENINGE CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,1
011301,BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,1
011302,BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,1
011303,BIOPSIA DE CEREBRO POR TREPANACIÓN,CapItulo 01 SISTEMA NERVIOSO,1
011306,BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
