codigo_iss,clase,codigo_cups,descripcion,tipo_valor,uvr,valor_pesos
01131,PB,015101,"RESECCION TUMOR OSEO, POR CRANEOTOMIA",UVR,85,
01131,PB,015102,"RESECCION TUMOR OSEO, POR CRANIECTOMIA",UVR,100,
01131,PB,020401,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTOLOGO O HETEROLOGO",UVR,240,
01132,PB,016101,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",UVR,190,
01132,PB,016102,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA",UVR,305,
01132,PB,016201,"RESECCION TUMOR DE LA HOZ , POR CRANEOTOMIA Y PLASTIA",UVR,305,
01132,PB,016301,"RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",UVR,190,
01133,PB,015201,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTERIOR",UVR,730,
01133,PB,015203,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA ANTEROLATERAL Y RINOTOMIA LATERAL",UVR,730,
01133,PB,015204,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA TRANSZIGOMATICA Y TRANSPALATAL",UVR,730,
01133,PB,015302,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",UVR,730,
01133,PB,015305,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBFRONTAL EXTENDIDA",UVR,730,
01133,PB,015306,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA POR VIA SUBTEMPORAL",UVR,700,
01133,PB,015308,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA SUBFRONTAL",UVR,730,
01133,PB,015310,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL",UVR,820,
01133,PB,017202,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA OSTEOPLASTICA",UVR,815,
01133,PB,017204,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION CORTICAL",UVR,700,
01133,PB,017601,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA",UVR,700,
01134,PB,015202,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTEROLATERAL",UVR,730,
01134,PB,015301,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL",UVR,730,
01134,PB,015304,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA",UVR,730,
01134,PB,015307,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",UVR,730,
01134,PB,015309,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR ORBITOTOMIA LATERAL",UVR,730,
01134,PB,017201,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",UVR,730,
01135,PB,015311,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL ENDOSCOPICA (134)",UVR,685,
01135,PB,071400,BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),UVR,635,
01135,PB,076200,ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD (134),UVR,635,
01135,PB,076500,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),UVR,685,
01136,PB,017401,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA",UVR,945,
01136,PB,017801,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA , POR CRANEOTOMIA",UVR,945,
01136,PB,075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,UVR,945,
01136,PB,075400,ESCISION TOTAL DE GLANDULA PINEAL (PINEALECTOMIA) SOD,UVR,945,
01136,PB,076100,ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,UVR,945,
01136,PB,076400,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,UVR,945,
01137,PB,017301,"RESECCION TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL",UVR,945,
01137,PB,017501,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMIA SUBOCCIPITAL",UVR,945,
01137,PB,017504,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA SUBOCCIPITAL",UVR,945,
01137,PB,017505,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA DE FOSA MEDIA",UVR,945,
01137,PB,017508,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBOCCIPITAL",UVR,945,
01137,PB,017509,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBTEMPORAL",UVR,945,
01138,PB,015401,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA EXTREMO LATERAL",UVR,945,
01138,PB,015402,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FRONTO ORBITO ETMOIDAL",UVR,945,
01138,PB,015403,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",UVR,945,
01138,PB,015404,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSORAL",UVR,945,
01138,PB,015405,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA MAXILOTOMIA EXTENDIDA",UVR,945,
01138,PB,015406,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSLABERINTICA",UVR,945,
01138,PB,015407,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSCOCLEAR",UVR,945,
01138,PB,015408,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FOSA MEDIA",UVR,945,
01138,PB,015409,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA SUBOCCIPITAL RETROMASTOIDEA",UVR,945,
01138,PB,017701,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA SUBOCCIPITAL CIRUGIA PARA EPILEPSIA, PROCEDIMIENTOS NEUROFISIOLOGICOS Y DOLOR",UVR,945,
01140,PB,028302,COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,UVR,290,
01140,PB,028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,UVR,290,
01141,PB,028303,IMPLANTACION PARENQUIMATOSA DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,UVR,230,
01143,PB,019100,LOBECTOMIA POR CRANEOTOMIA SOD,UVR,375,
01143,PB,019200,LOBECTOMIA POR CRANIECTOMIA SOD,UVR,375,
01145,PB,018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,UVR,610,
01145,PB,018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,UVR,610,
