codigo_cups,codigo_soat,descripcion_soat,clase,cobertura,uvb,valor_pesos
010101,1250,PUNCION CISTERNAL,GRUPO,POS,4,840000
010102,1250,PUNCION CISTERNAL,GRUPO,POS,4,840000
010103,1250,PUNCION CISTERNAL,GRUPO,POS,4,840000
010201,1251,PUNCION VENTRICULAR,GRUPO,POS,5,1063500
010202,1251,PUNCION VENTRICULAR,GRUPO,POS,5,1063500
010203,1251,PUNCION VENTRICULAR,GRUPO,POS,5,1063500
010204,1251,PUNCION VENTRICULAR,GRUPO,POS,5,1063500
010205,1251,PUNCION VENTRICULAR,GRUPO,POS,5,1063500
010901,1252,PUNCION SUBDURAL,GRUPO,POS,4,840000
010902,1252,PUNCION SUBDURAL,GRUPO,POS,4,840000
011101,17802,HUESO,GRUPO,POS,4,840000
011102,17802,HUESO,GRUPO,POS,4,840000
011103,17802,HUESO,GRUPO,POS,4,840000
011201,17100,TEJIDO INTRACRANEAL,GRUPO,POS,10,3170500
011202,17100,TEJIDO INTRACRANEAL,GRUPO,POS,10,3170500
011301,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
011302,17100,TEJIDO INTRACRANEAL,GRUPO,POS,10,3170500
011303,17100,TEJIDO INTRACRANEAL,GRUPO,POS,10,3170500
011306,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
011307,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
012101,,CRANEALIZACION DE SENO FRONTAL,,POS,,
012102,,INCISION Y DRENAJE DE SENO FRONTAL,,POS,,
012103,,DESFUNCIONALIZACION DE SENO FRONTAL,,POS,,
012201,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012202,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012203,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012204,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012205,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012206,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012207,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012208,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012209,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012210,1151,IMPLANTACION ESTEREOTAXICA DE ELECTRODOS Y MATERIAL RADIO ACTIVO,GRUPO,POS,22,4980800
012301,,REAPERTURA DE CRANEOTOMIA,,POS,,
012401,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
012402,1104,CRANEOTOMIA PARA DRENAJE DE HEMATOMA DE FOSA POSTERIOR,GRUPO,POS,20,3572100
012402,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
012403,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
012403,1101,CRANEOTOMIA PARA EXTRACCION CUERPO EXTRAÑO; INCLUYE ESQUIRLECTOMIA,GRUPO,POS,9,2376200
012403,1103,CRANEOTOMIA PARA EXTRACCION SECUESTRO,GRUPO,POS,8,2080800
012410,1101,CRANEOTOMIA PARA EXTRACCION CUERPO EXTRAÑO; INCLUYE ESQUIRLECTOMIA,GRUPO,POS,9,2376200
012501,1103,CRANEOTOMIA PARA EXTRACCION SECUESTRO,GRUPO,POS,8,2080800
012502,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
012503,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
012505,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
012506,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
012507,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
013101,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
013102,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
013103,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
