codigo_no_vigente,descripcion_no_vigente,accion,codigo_reemplazo,descripcion_reemplazo
012300,REAPERTURA DE CRANEOTOMIA SOD,REEMPLAZA A,012301,REAPERTURA DE CRANEOTOMIA
024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,REEMPLAZA A,024101,IRRIGACION DE DERIVACION VENTRICULAR
025000,IMPLANTE DE CATETER (INTRAVENTRICULAR - INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD,REEMPLAZA A,025001,IMPLANTE DE CATETER (INTRAVENTRICULAR - INTRACISTICO) CON RESERVORIO SUBCUTANEO
028100,LISIS DE ADHERENCIAS CORTICALES SOD,REEMPLAZA A,028101,LISIS DE ADHERENCIAS CORTICALES
038100,INYECCIONES NEUROLITICAS SUBARACNOIDEAS SOD,REEMPLAZA A,038101,INYECCIONES NEUROLITICAS SUBARACNOIDEAS
038200,NEUROLISIS DE RAICES ESPINALES SOD,REEMPLAZA A,038201,NEUROLISIS DE RAICES ESPINALES
039500,PARCHE HEMATICO EPIDURAL EN CANAL ESPINAL SOD,REEMPLAZA A,039501,PARCHE HEMATICO EPIDURAL EN CANAL ESPINAL
039700,REEMPLAZO - IRRIGACION O REVISION DE DERIVACION ESPINAL SOD,REEMPLAZA A,039701,REEMPLAZO - IRRIGACION O REVISION DE DERIVACION ESPINAL
039800,RETIRO DE DERIVACION ESPINAL SOD,REEMPLAZA A,039801,RETIRO DE DERIVACION ESPINAL
040500,GANGLIONECTOMIA DE GASSER SOD,REEMPLAZA A,040501,GANGLIONECTOMIA DE GASSER
041200,BIOPSIA ABIERTA DE NERVIO O GANGLIO PERIFERICO SOD,REEMPLAZA A,041201,BIOPSIA ABIERTA DE NERVIO O GANGLIO PERIFERICO
051100,BIOPSIA DE NERVIO O GANGLIO SIMPATICO SOD,REEMPLAZA A,051101,BIOPSIA DE NERVIO O GANGLIO SIMPATICO
052200,SIMPATECTOMIA CERVICAL SOD,REEMPLAZA A,052201,SIMPATECTOMIA CERVICAL
052300,SIMPATECTOMIA LUMBAR SOD,REEMPLAZA A,052301,SIMPATECTOMIA LUMBAR
052500,SIMPATECTOMIA PERIARTERIAL SOD,REEMPLAZA A,052501,SIMPATECTOMIA PERIARTERIAL
055200,DESCOMPRESION DE PLEJO O TRONCO (CERVICAL - LUMBAR O SACRO) SOD,REEMPLAZA A,055201,DESCOMPRESION DE PLEJO O TRONCO (CERVICAL - LUMBAR O SACRO)
069400,REIMPLANTE DE TEJIDO TIROIDEO (AUTOLOGO) SOD,REEMPLAZA A,069401,REIMPLANTE DE TEJIDO TIROIDEO (AUTOLOGO)
071300,BIOPSIA DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,071301,BIOPSIA DE HIPOFISIS - VIA TRANSFRONTAL
071700,BIOPSIA DE GLANDULA PINEAL SOD,REEMPLAZA A,071701,BIOPSIA DE GLANDULA PINEAL
075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,REEMPLAZA A,075301,ESCISION PARCIAL DE GLANDULA PINEAL
075400,ESCISION TOTAL DE GLANDULA PINEAL [PINEALECTOMIA] SOD,REEMPLAZA A,075401,ESCISION TOTAL DE GLANDULA PINEAL [PINEALECTOMIA]
076100,ESCISION PARCIAL DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,076101,ESCISION PARCIAL DE HIPOFISIS - VIA TRANSFRONTAL
076400,ESCISION TOTAL DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,076401,ESCISION TOTAL DE HIPOFISIS - VIA TRANSFRONTAL
076500,ESCISION TOTAL DE HIPOFISIS - VIA TRANSESFENOIDAL SOD,REEMPLAZA A,076501,ESCISION TOTAL DE HIPOFISIS - VIA TRANSESFENOIDAL
